SALEYEAR,SALETYPE,SALECODE,BOOK,DAY,SALEDATE,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL,UTT,STATUS,TDAM,tSire,tSireofdam
2024,M,24KEENOVHRA,1,1,2024-11-14,4001,4001,Queens Fable (IRE),Queens Fable (IRE),,,2021-02-08,3,B,F,,BRP,,,,Frankel (GB),Frankel (GB),Rymska (FR),Rymska (FR),,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Rymska (FR),Frankel (GB),
2024,M,24KEENOVHRA,1,1,2024-11-14,4002,4002,Ready as Ever,Ready as Ever,,,2021-03-20,3,B    ,G,,RP,,,,More Than Ready,More Than Ready,Al Andaleeb,Al Andaleeb,,,,,,0,,,1901-01-01,Godolphin ,,,,"Steven W. Young, Agent",,,,25000.0,,,,,T,2021,0.0,,Al Andaleeb,More Than Ready,
2024,M,24KEENOVHRA,1,1,2024-11-14,4003,4003,Real Eleve,Real Eleve,,,2022-05-05,2,B,C,,SRP,,,,Authentic,Authentic,Corps de Ballet,Corps de Ballet,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2022,0.0,,Corps de Ballet,Authentic,
2024,M,24KEENOVHRA,1,1,2024-11-14,4004,4004,Reincarnate,Reincarnate,,,2020-04-01,4,GR/RO,C,,SRP,,,,Good Magic,Good Magic,Allanah,Allanah,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2020,0.0,,Allanah,Good Magic,
2024,M,24KEENOVHRA,1,1,2024-11-14,4005,4005,Research Results,Research Results,,,2021-04-21,3,CH,C,,SRP,,,,Munnings,Munnings,Mia and Molly,Mia and Molly,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Mia and Molly,Munnings,
2024,M,24KEENOVHRA,1,1,2024-11-14,4006,4006,Retouch (FR),Retouch (FR),,,2021-02-26,3,B,C,,SRP,,,,Demarchelier (GB),Demarchelier (GB),Sketches of Spain (IRE),Sketches of Spain (IRE),,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Sketches of Spain (IRE),Demarchelier (GB),
2024,M,24KEENOVHRA,1,1,2024-11-14,4007,4007,Rhetorical,Rhetorical,,,2021-03-03,3,DB/BR,G,,RP,,,,Not This Time,Not This Time,Sheet Humor,Sheet Humor,,,,,,0,,,1901-01-01,"ELiTE, Agent for WinStar Racing ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Sheet Humor,Not This Time,
2024,M,24KEENOVHRA,1,1,2024-11-14,4008,4008,Rockville,Rockville,,,2022-02-24,2,B,G,,RP,,,,Bernardini,Bernardini,Sarah's Pleasure,Sarah's Pleasure,,,,,,0,,,1901-01-01,"Hunter Valley Farm, Agent ",,,,Stripes Stable,,,,19000.0,,,,,T,2022,0.0,,Sarah's Pleasure,Bernardini,
2024,M,24KEENOVHRA,1,1,2024-11-14,4009,4009,Rosa,Rosa,,,2021-05-20,3,CH,F,,BRP,,,,Street Boss,Street Boss,Magnificience,Magnificience,,,,,,0,,,1901-01-01,"Grovendale Sales, Agent II ",,,,Hunter Valley Farm,,,,95000.0,,,,,T,2021,0.0,,Magnificience,Street Boss,
2024,M,24KEENOVHRA,1,1,2024-11-14,4010,4010,Rothschild,Rothschild,,,2021-02-23,3,B,C,,SRP,,,,Uncle Mo,Uncle Mo,Still There,Still There,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Still There,Uncle Mo,
2024,M,24KEENOVHRA,1,1,2024-11-14,4011,4011,Sacred Image,Sacred Image,,,2021-05-08,3,CH,F,,BRP,,,,Catholic Boy,Catholic Boy,Painter's Muse (GB),Painter's Muse (GB),,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,"Equinox Inc., Agent for Go To Toga Racing LLC",,,,27000.0,,,,,T,2021,0.0,,Painter's Muse (GB),Catholic Boy,
2024,M,24KEENOVHRA,1,1,2024-11-14,4012,4012,Saint Gaudens,Saint Gaudens,,,2021-04-21,3,B,C,,SRP,,,,Into Mischief,Into Mischief,Artemis Agrotera,Artemis Agrotera,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Artemis Agrotera,Into Mischief,
2024,M,24KEENOVHRA,1,1,2024-11-14,4013,4013,Sale Leaseback (IRE),Sale Leaseback (IRE),,,2021-02-08,3,B,F,,BRP,,,,Night of Thunder (IRE),Night of Thunder (IRE),Dreaming Time (GB),Dreaming Time (GB),,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Narvick /NAJD Stud,,,,35000.0,,,,,T,2021,0.0,,Dreaming Time (GB),Night of Thunder (IRE),
2024,M,24KEENOVHRA,1,1,2024-11-14,4014,4014,Sandy Creek (IRE),Sandy Creek (IRE),,,2020-03-20,4,B,F,,BRP,,,,Frankel (GB),Frankel (GB),Bonanza Creek (IRE),Bonanza Creek (IRE),,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2020,0.0,,Bonanza Creek (IRE),Frankel (GB),
2024,M,24KEENOVHRA,1,1,2024-11-14,4015,4015,Sardis,Sardis,,,2021-04-25,3,B,C,,SRP,,,,Into Mischief,Into Mischief,Endless Chat,Endless Chat,,,,,,0,,,1901-01-01,"Paramount Sales, Agent for Three Diamonds Farm (Partial Racing Dispersal)",,,,Out,,,,0.0,,,,,T,2021,0.0,,Endless Chat,Into Mischief,
2024,M,24KEENOVHRA,1,1,2024-11-14,4016,4016,Say Cheez Louise,Say Cheez Louise,,,2021-02-17,3,CH,F,,BRP,,,,Oscar Performance,Oscar Performance,Emma Lazarus,Emma Lazarus,,,,,,0,,,1901-01-01,"Grovendale Sales, Agent III ",,,,Stripes Stable,,,,15000.0,,,,,T,2021,0.0,,Emma Lazarus,Oscar Performance,
2024,M,24KEENOVHRA,1,1,2024-11-14,4017,4017,Scarborough Fair,Scarborough Fair,,,2021-03-24,3,DB/BR,F,,BRP,,,,Speightstown,Speightstown,Blessings First,Blessings First,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,"Steven W. Young, Agent",,,,32000.0,,,,,T,2021,0.0,,Blessings First,Speightstown,
