SALEYEAR,SALETYPE,SALECODE,BOOK,DAY,SALEDATE,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL,UTT,STATUS,TDAM,tSire,tSireofdam
2022,M,22KEEJAN,1,1,2022-01-10,1,1,Smart Kitten,Smart Kitten,,,2020-04-30,4,DB/BR,F,,BRP,,,,Kitten's Joy,Kitten's Joy,Yaabalady,Yaabalady,,,,,,0,,,1901-01-01,"Bluewater Sales LLC, Agent V ",,,,Out,,,,0.0,,,,,T,2020,0.0,,Yaabalady,Kitten's Joy,
2022,M,22KEEJAN,1,1,2022-01-10,2,2,Ya Beauty (GB),Ya Beauty (GB),,,2017-04-13,7,B,M,,BRP,,,,Muhaarar (GB),Muhaarar (GB),Long Face,Long Face,,,,,,0,,,1901-01-01,"Vinery Sales, Agent XXXII ",,,,Out,,,,0.0,,,,,T,2017,0.0,,Long Face,Muhaarar (GB),
2022,M,22KEEJAN,1,1,2022-01-10,3,3,Practical Royalty,Practical Royalty,,,2021-04-14,3,B,F,,Y,,,,Practical Joke,Practical Joke,Yanquee Reign,Yanquee Reign,,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent LVIII ",,,,Rick Davis,,,,40000.0,,,,,T,2021,0.0,,Yanquee Reign,Practical Joke,
2022,M,22KEEJAN,1,1,2022-01-10,4,4,Vino for the Queen,Vino for the Queen,,,2021-03-06,3,CH,F,,Y,,,,Vino Rosso,Vino Rosso,Yass Queen,Yass Queen,,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent XXI ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Yass Queen,Vino Rosso,
2022,M,22KEEJAN,1,1,2022-01-10,5,5,Ylikedis,Ylikedis,,,2017-03-23,7,B,M,,BRP,,,,Street Sense,Street Sense,Andina (IRE),Andina (IRE),,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent LVIII ",,,,Out,,,,0.0,,,,,T,2017,0.0,,Andina (IRE),Street Sense,
2022,M,22KEEJAN,1,1,2022-01-10,6,6,You Cheated,You Cheated,,,2013-02-14,12,B,M,,B,,,,Colonel John,Colonel John,Zipper Zapper,Zipper Zapper,,,,,,0,,Yoshida (JPN),2021-05-12,"Hartwell Farm, Agent I ",,,,Glen Robertson,,,,12000.0,,,,,T,2013,0.0,pregnant,Zipper Zapper,Colonel John,
2022,M,22KEEJAN,1,1,2022-01-10,7,7,Lucchesi,Lucchesi,,,2021-04-13,3,DB/BR,C,,Y,,,,More Than Ready,More Than Ready,A. A. Azula's Arch,A. A. Azula's Arch,,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent for A & A Farms ",,,,Out,,,,0.0,,,,,T,2021,0.0,,A. A. Azula's Arch,More Than Ready,
2022,M,22KEEJAN,1,1,2022-01-10,8,8,A Bit of Both,A Bit of Both,,,2016-02-16,9,B,M,,BRP,,,,Paynter,Paynter,Lizzie K,Lizzie K,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,"Sean S.Perl, Agent",,,,40000.0,,,,,T,2016,0.0,,Lizzie K,Paynter,
2022,M,22KEEJAN,1,1,2022-01-10,9,9,Hoya,Hoya,,,2021-05-16,3,B,C,,Y,,,,Kitten's Joy,Kitten's Joy,Adorable You,Adorable You,,,,,,0,,,1901-01-01,"Hill 'n' Dale Sales Agency, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Adorable You,Kitten's Joy,
2022,M,22KEEJAN,1,1,2022-01-10,10,10,Affirmation,Affirmation,,,2017-04-16,7,DB/BR,M,,B,,,,Astrology,Astrology,Goldfield,Goldfield,,,,,,0,,Maclean's Music,2021-02-18,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2017,0.0,pregnant,Goldfield,Astrology,
