SALEYEAR,SALETYPE,SALECODE,BOOK,DAY,SALEDATE,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL,UTT,STATUS,TDAM,tSire,tSireofdam
2022,Y,22KEESEPT,1,1,2022-09-12,1,1,Concord Bridge,Concord Bridge,,,1900-01-01,125,B,C,,Y,,,,Medaglia d'Oro,Medaglia d'Oro,Pauline Revere,Pauline Revere,,,,,,0,,,1901-01-01,"Lane's End, Agent ",,,,Talla Racing & West Point Thoroughbreds,,,,850000.0,,,,,T,2021,0.0,,Pauline Revere,Medaglia d'Oro,
2022,Y,22KEESEPT,1,1,2022-09-12,2,2,Uncoachable,Uncoachable,,,1900-01-01,125,B,C,,Y,,,,Into Mischief,Into Mischief,Peggy Jane,Peggy Jane,,,,,,0,,,1901-01-01,"Summerfield (Francis and Barbara Vanlangendonck), Agent for Stonestreet Bred & Raised",,,,Out,,,,0.0,,,,,T,2021,0.0,,Peggy Jane,Into Mischief,
2022,Y,22KEESEPT,1,1,2022-09-12,3,3,Reserve Fund,Reserve Fund,,,1900-01-01,125,CH,F,,Y,,,,Tapit,Tapit,Pension,Pension,,,,,,0,,,1901-01-01,"Gainesway, Agent X ",,,,"Steven W. Young, Agent",,,,650000.0,,,,,T,2021,0.0,,Pension,Tapit,
2022,Y,22KEESEPT,1,1,2022-09-12,4,4,Paparazzo,Paparazzo,,,1900-01-01,125,B,C,,Y,,,,American Pharoah,American Pharoah,Photographer,Photographer,,,,,,0,,,1901-01-01,Dixiana Farms LLC ,,,,"Quarter Pole Enterprises, LLC",,,,200000.0,,,,,T,2021,0.0,,Photographer,American Pharoah,
2022,Y,22KEESEPT,1,1,2022-09-12,5,5,Blood Brother,Blood Brother,,,1900-01-01,125,B,C,,Y,,,,Quality Road,Quality Road,Pine Needles,Pine Needles,,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent LXI ",,,,Calumet Farm,,,,100000.0,,,,,T,2021,0.0,,Pine Needles,Quality Road,
2022,Y,22KEESEPT,1,1,2022-09-12,6,6,Genetics,Genetics,,,1900-01-01,125,CH,F,,Y,,,,Tapit,Tapit,Points of Grace,Points of Grace,,,,,,0,,,1901-01-01,"Gainesway, Agent IX ",,,,Glassman Racing LLC,,,,525000.0,,,,,T,2021,0.0,,Points of Grace,Tapit,
2022,Y,22KEESEPT,1,1,2022-09-12,7,7,Prospero (IRE),Prospero (IRE),,,1900-01-01,125,CH,C,,Y,,,,No Nay Never,No Nay Never,Posset (GB),Posset (GB),,,,,,0,,,1901-01-01,"Glennwood Farm Inc., Agent ",,,,"R.N.A. (240,000)",,,,240000.0,,,,,T,2021,0.0,,Posset (GB),No Nay Never,
2022,Y,22KEESEPT,1,1,2022-09-12,8,8,Quality Dance,Quality Dance,,,1900-01-01,125,B,F,,Y,,,,Quality Road,Quality Road,Princesa Silvia,Princesa Silvia,,,,,,0,,,1901-01-01,"Gainesway, Agent XLVIII ",,,,"Claiborne Farm, Agent",,,,1200000.0,,,,,T,2021,0.0,,Princesa Silvia,Quality Road,
2022,Y,22KEESEPT,1,1,2022-09-12,9,9,Wine On Tap,Wine On Tap,,,1900-01-01,125,GR/RO,F,,Y,,,,Tapit,Tapit,Princess La Quinta,Princess La Quinta,,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent for Aaron & Marie Jones LLC ",,,,Alistair Roden Bloodstock,,,,600000.0,,,,,T,2021,0.0,,Princess La Quinta,Tapit,
2022,Y,22KEESEPT,1,1,2022-09-12,10,10,Market Street,Market Street,,,1900-01-01,125,B,C,,Y,,,,Street Sense,Street Sense,Quality Way,Quality Way,,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent VI ",,,,Les Wagner,,,,275000.0,,,,,T,2021,0.0,,Quality Way,Street Sense,
