Unnamed: 21,SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,YEARFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,UTT,STATUS,TDAM,tSire,tSireofdam,url-ut
,2023,Y,23FTKNOV,2023-11-07,1,1,1,1,No Horse,No Horse,,,2023-04-23,2023,0,B,C,,W,,,KY,BOLT D'ORO,BOLT D'ORO,ICE WOMEN,ICE WOMEN,STREET SENSE,STREET SENSE,,,,0,,,1901-01-01,SCOTT MALLORY AGENT,,,,BROOKSTONE FARM,,,,250000,,,,,T,HTML,,ICE WOMEN,BOLT D'ORO,STREET SENSE,
,2023,Y,23FTKNOV,2023-11-07,1,1,2,2,No Horse,No Horse,,,2023-03-01,2023,0,B,F,,W,,,KY,ENTICED,ENTICED,IMPAZIBLE WOMAN,IMPAZIBLE WOMAN,MISSION IMPAZIBLE,MISSION IMPAZIBLE,,,,0,,,1901-01-01,CLIFTON FARM LLC AGENT,,,,TC STABLES,,,,55000,,,,,T,HTML,,IMPAZIBLE WOMAN,ENTICED,MISSION IMPAZIBLE,
,2023,Y,23FTKNOV,2023-11-07,1,1,3,3,No Horse,No Horse,,,2023-01-29,2023,0,B,C,,W,,,KY,COLLECTED,COLLECTED,INCARNATION,INCARNATION,TEMPLE CITY,TEMPLE CITY,,,,0,,,1901-01-01,VINERY SALES AGENT V,,,,NOT SOLD,,,,30000,,,,,T,HTML,,INCARNATION,COLLECTED,TEMPLE CITY,
,2023,Y,23FTKNOV,2023-11-07,1,1,4,4,No Horse,No Horse,,,2023-03-11,2023,0,B,F,,W,,,FL,GOOD MAGIC,GOOD MAGIC,INDIAN COLORS,INDIAN COLORS,INDIAN CHARLIE,INDIAN CHARLIE,,,,0,,,1901-01-01,ST GEORGE SALES AGENT V,,,,OUT,,,,0,,,,,T,HTML,,INDIAN COLORS,GOOD MAGIC,INDIAN CHARLIE,
,2023,Y,23FTKNOV,2023-11-07,1,1,5,5,No Horse,No Horse,,,2023-04-30,2023,0,B,C,,W,,,KY,TIZ THE LAW,TIZ THE LAW,JANIS'S JOY,JANIS'S JOY,BROKEN VOW,BROKEN VOW,,,,0,,,1901-01-01,FRANKFORT PARK FARM AGENT,,,,NOT SOLD,,,,60000,,,,,T,HTML,,JANIS'S JOY,TIZ THE LAW,BROKEN VOW,
,2023,Y,23FTKNOV,2023-11-07,1,1,6,6,No Horse,No Horse,,,2023-03-02,2023,0,B,F,,W,,,MD,BOLT D'ORO,BOLT D'ORO,JENNEMILY,JENNEMILY,STRONG MANDATE,STRONG MANDATE,,,,0,,,1901-01-01,BLUEGRASS THOROUGHBRED SERVICES INC. AGENT,,,,OUT,,,,0,,,,,T,HTML,,JENNEMILY,BOLT D'ORO,STRONG MANDATE,
,2023,Y,23FTKNOV,2023-11-07,1,1,7,7,No Horse,No Horse,,,2023-03-13,2023,0,DKB,F,,W,,,IN,MIDNIGHT LUTE,MIDNIGHT LUTE,JUST FABULOUS,JUST FABULOUS,INCLUDE,INCLUDE,,,,0,,,1901-01-01,WYNNSTAY SALES AGENT V,,,,NOT SOLD,,,,27000,,,,,T,HTML,,JUST FABULOUS,MIDNIGHT LUTE,INCLUDE,
,2023,Y,23FTKNOV,2023-11-07,1,1,8,8,No Horse,No Horse,,,2023-03-14,2023,0,DKB,C,,W,,,KY,GHOSTZAPPER,GHOSTZAPPER,KATIE'S KEEPSAKE,KATIE'S KEEPSAKE,MEDAGLIA D'ORO,MEDAGLIA D'ORO,,,,0,,,1901-01-01,FOUR STAR SALES AGENT FOR D.C. GOFF,,,,GEORGE SHARP,,,,175000,,https://youtu.be/bC4GsHyOPCQ,,,T,HTML,,KATIE'S KEEPSAKE,GHOSTZAPPER,MEDAGLIA D'ORO,
,2023,Y,23FTKNOV,2023-11-07,1,1,9,9,No Horse,No Horse,,,2023-01-25,2023,0,DKB,C,,W,,,KY,MAXFIELD,MAXFIELD,LA BELLE CAT,LA BELLE CAT,TALE OF THE CAT,TALE OF THE CAT,,,,0,,,1901-01-01,CLIFTON FARM LLC AGENT,,,,GEB BLOODSTOCK,,,,80000,,,,,T,HTML,,LA BELLE CAT,MAXFIELD,TALE OF THE CAT,
,2023,Y,23FTKNOV,2023-11-07,1,1,10,10,No Horse,No Horse,,,2023-03-05,2023,0,CH,F,,W,,,KY,LEXITONIAN,LEXITONIAN,LADY FIFTY TWO,LADY FIFTY TWO,KODIAK KOWBOY,KODIAK KOWBOY,,,,0,,,1901-01-01,WYNNSTAY SALES AGENT,,,,JOHNSON CATTLE CO.,,,,100000,,,,,T,HTML,,LADY FIFTY TWO,LEXITONIAN,KODIAK KOWBOY,
