PRIVATE SALE,Unnamed: 18,SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,YEARFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,UTT,STATUS,TDAM,tSire,tSireofdam,url-ut
,,2023,Y,23FTKOCT,2023-10-23,1,1,1,1,No Horse,No Horse,,,2022-04-23,2022,1,DKB,F,,Y,,,KY,JIMMY CREED,JIMMY CREED,YADDO CANARY,YADDO CANARY,MINESHAFT,MINESHAFT,,,,0,,,1901-01-01,MAINE CHANCE FARM (UNIVERSITY OF KENTUCKY),,,,J ASENCION MONTEAGUDO,,,,5000,,,,,T,0.0,,YADDO CANARY,JIMMY CREED,MINESHAFT,
,,2023,Y,23FTKOCT,2023-10-23,1,1,2,2,No Horse,No Horse,,,2022-04-19,2022,1,DKB,C,,Y,,,KY,IMPROBABLE,IMPROBABLE,YAHILWA,YAHILWA,MEDAGLIA D'ORO,MEDAGLIA D'ORO,,,,0,,,1901-01-01,GROVENDALE SALES AGENT II,,,,NOT SOLD,,,,60000,,,,,T,0.0,,YAHILWA,IMPROBABLE,MEDAGLIA D'ORO,
,,2023,Y,23FTKOCT,2023-10-23,1,1,3,3,No Horse,No Horse,,,2022-04-09,2022,1,DKB,C,,Y,,,ON,INSTILLED REGARD,INSTILLED REGARD,YOU DON'T KNOW ME (IRE),YOU DON'T KNOW ME (IRE),ZOFFANY (IRE),ZOFFANY (IRE),,,,0,,,1901-01-01,SUSAN Y. FOREMAN AGENT,,,,NOT SOLD,,,,22000,,,,,T,0.0,,YOU DON'T KNOW ME (IRE),INSTILLED REGARD,ZOFFANY (IRE),
,,2023,Y,23FTKOCT,2023-10-23,1,1,4,4,No Horse,No Horse,,,2022-04-22,2022,1,DKB,F,,Y,,,ON,BEE JERSEY,BEE JERSEY,YOU MAKE LUVIN FUN,YOU MAKE LUVIN FUN,A.P. INDY,A.P. INDY,,,,0,,,1901-01-01,HUNTER VALLEY FARM AGENT,,,,OFF THE HOOK,,,,11000,,,,,T,0.0,,YOU MAKE LUVIN FUN,BEE JERSEY,A.P. INDY,
,,2023,Y,23FTKOCT,2023-10-23,1,1,5,5,No Horse,No Horse,,,2022-05-17,2022,1,DKB,C,,Y,,,KY,WORLD OF TROUBLE,WORLD OF TROUBLE,YOUNGNFLASHY,YOUNGNFLASHY,FLASHY BULL,FLASHY BULL,,,,0,,,1901-01-01,FOUR STAR SALES AGENT,,,,JON JAZDZEWSKI,,,,8000,,,,,T,0.0,,YOUNGNFLASHY,WORLD OF TROUBLE,FLASHY BULL,
,,2023,Y,23FTKOCT,2023-10-23,1,1,6,6,No Horse,No Horse,,,2022-05-05,2022,1,DKB,F,,Y,,,NY,CAIRO PRINCE,CAIRO PRINCE,YOUR TIME IS UP,YOUR TIME IS UP,FREUD,FREUD,,,,0,,,1901-01-01,HIBISCUS SALES,,,,OUT,,,,0,,,,,T,0.0,,YOUR TIME IS UP,CAIRO PRINCE,FREUD,
,,2023,Y,23FTKOCT,2023-10-23,1,1,7,7,No Horse,No Horse,,,2022-05-13,2022,1,CH,F,,Y,,,KY,VINO ROSSO,VINO ROSSO,ZEENUT,ZEENUT,MINGUN,MINGUN,,,,0,,,1901-01-01,MIKELLE FARM AGENT,,,,ECLIPSE THOROUGHBRED PARTNERS & ST ELIAS STABLES,,,,90000,,https://vimeo.com/876777418?share=copy,,,T,0.0,,ZEENUT,VINO ROSSO,MINGUN,
,,2023,Y,23FTKOCT,2023-10-23,1,1,8,8,No Horse,No Horse,,,2022-02-12,2022,1,GRR,F,,Y,,,KY,THE FACTOR,THE FACTOR,ZENSATIONAL BEAUTY,ZENSATIONAL BEAUTY,ZENSATIONAL,ZENSATIONAL,,,,0,,,1901-01-01,VINERY SALES AGENT XVIII,,,,KAT KIRK & WAYNE SANDERS,,,,30000,,,,,T,0.0,,ZENSATIONAL BEAUTY,THE FACTOR,ZENSATIONAL,
,,2023,Y,23FTKOCT,2023-10-23,1,1,9,9,No Horse,No Horse,,,2022-01-16,2022,1,DKB,C,,Y,,,KY,MASTERY,MASTERY,ZESTINA,ZESTINA,SILENT NAME (JPN),SILENT NAME (JPN),,,,0,,,1901-01-01,FRANKFORT PARK FARM AGENT,,,,PAUL CAIRNS RACING,,,,20000,,,,,T,0.0,,ZESTINA,MASTERY,SILENT NAME (JPN),
,,2023,Y,23FTKOCT,2023-10-23,1,1,10,10,No Horse,No Horse,,,2022-04-23,2022,1,DKB,F,,Y,,,KY,STREET SENSE,STREET SENSE,ZETTA Z,ZETTA Z,BERNARDINI,BERNARDINI,,,,0,,,1901-01-01,DENALI STUD AGENT XXVIII,,,,HARTLEY/DE RENZO THOROUGHBREDS,,,,170000,,,,,T,0.0,,ZETTA Z,STREET SENSE,BERNARDINI,
