Unnamed: 22,SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,YEARFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,UTT,STATUS,TDAM,tSire,tSireofdam,url-ut
,2023,M,23FTNYMIX,2023-10-17,1,1,1,1,No Horse,No Horse,,,2023-03-08,2023,0,B,C,,W,,,NY,BLAME,BLAME,YASS QUEEN,YASS QUEEN,MINESHAFT,MINESHAFT,,,,0,,LILI KOBIELSKI,1901-01-01,THE NEW HILL FARM AGENT,,,,BRONCO BLOODSTOCK,,,,35000,,,,,T,0.0,,YASS QUEEN,BLAME,MINESHAFT,
,2023,M,23FTNYMIX,2023-10-17,1,1,2,2,No Horse,No Horse,,,2023-04-16,2023,0,CH,F,,W,,,NY,VOLATILE,VOLATILE,ZIFENA (GB),ZIFENA (GB),ZAMINDAR,ZAMINDAR,,,,0,,MCMAHON OF SARATOGA THB LLC,1901-01-01,MCMAHON OF SARATOGA THOROUGHBREDS LLC AGENT,,,,OUT,,,,0,,,,,T,0.0,,ZIFENA (GB),VOLATILE,ZAMINDAR,
,2023,M,23FTNYMIX,2023-10-17,1,1,3,3,No Horse,No Horse,,,2023-04-23,2023,0,B,F,,W,,,NY,GALILEAN,GALILEAN,ACUSHLA,ACUSHLA,TIZNOW,TIZNOW,,,,0,,HIDDEN LAKE FARM LLC,1901-01-01,HIDDEN LAKE FARM LLC AGENT,,,,OUT,,,,0,,,,,T,0.0,,ACUSHLA,GALILEAN,TIZNOW,
,2023,M,23FTNYMIX,2023-10-17,1,1,4,4,No Horse,No Horse,,,2023-03-27,2023,0,B,C,,W,,,NY,GIFT BOX,GIFT BOX,A CUT AHEAD,A CUT AHEAD,TIZ WONDERFUL,TIZ WONDERFUL,,,,0,,INDIAN CREEK FARM,1901-01-01,INDIAN CREEK AGENT FOR BOYD T. BROWNING JR.,,,,CYPRESSHEAD RACING LLC,,,,25000,,,,,T,0.0,,A CUT AHEAD,GIFT BOX,TIZ WONDERFUL,
,2023,M,23FTNYMIX,2023-10-17,1,1,5,5,No Horse,No Horse,,,2023-04-22,2023,0,B,F,,W,,,NY,SOLOMINI,SOLOMINI,ADIRA,ADIRA,QUALITY ROAD,QUALITY ROAD,,,,0,,MCMAHON OF SARATOGA THB LLC,1901-01-01,MCMAHON OF SARATOGA THOROUGHBREDS LLC AGENT,,,,OUT,,,,0,,,,,T,0.0,,ADIRA,SOLOMINI,QUALITY ROAD,
,2023,M,23FTNYMIX,2023-10-17,1,1,6,6,ADULT IN THE ROOM,ADULT IN THE ROOM,,,2015-01-27,2015,8,GRR,M,,B,,,MD,THE FACTOR,THE FACTOR,MUSIC PLEASE,MUSIC PLEASE,BOWMAN'S BAND,BOWMAN'S BAND,,,,0,,INDIAN CREEK FARM,1901-01-01,INDIAN CREEK AGENT,,,,SUSAN K DEPAULA,,,,26000,,,,,T,0.0,,MUSIC PLEASE,THE FACTOR,BOWMAN'S BAND,
,2023,M,23FTNYMIX,2023-10-17,1,1,7,7,No Horse,No Horse,,,2023-02-17,2023,0,B,C,,W,,,NY,LOOKIN AT LUCKY,LOOKIN AT LUCKY,ADULT IN THE ROOM,ADULT IN THE ROOM,THE FACTOR,THE FACTOR,,,,0,,INDIAN CREEK FARM,1901-01-01,INDIAN CREEK AGENT,,,,REEVES THOROUGHBRED RACING,,,,50000,,,,,T,0.0,,ADULT IN THE ROOM,LOOKIN AT LUCKY,THE FACTOR,
,2023,M,23FTNYMIX,2023-10-17,1,1,8,8,No Horse,No Horse,,,2023-04-15,2023,0,B,C,,W,,,NY,PRACTICAL JOKE,PRACTICAL JOKE,AILISH,AILISH,TWIRLING CANDY,TWIRLING CANDY,,,,0,,HIDDEN LAKE FARM LLC,1901-01-01,HIDDEN LAKE FARM LLC AGENT,,,,OUT,,,,0,,,,,T,0.0,,AILISH,PRACTICAL JOKE,TWIRLING CANDY,
,2023,M,23FTNYMIX,2023-10-17,1,1,9,9,No Horse,No Horse,,,2023-03-26,2023,0,CH,C,,W,,,NY,VEKOMA,VEKOMA,ALANA'S ALLURE,ALANA'S ALLURE,SHACKLEFORD,SHACKLEFORD,,,,0,,VINERY SALES,1901-01-01,VINERY SALES AGENT XXX,,,,GOOD LUCK FARM,,,,100000,,,,,T,0.0,,ALANA'S ALLURE,VEKOMA,SHACKLEFORD,
,2023,M,23FTNYMIX,2023-10-17,1,1,10,10,No Horse,No Horse,,,2023-02-17,2023,0,CH,C,,W,,,NY,COUNTRY HOUSE,COUNTRY HOUSE,ALB,ALB,PULPIT,PULPIT,,,,0,,SARATOGA GLEN FARM LLC,1901-01-01,SARATOGA GLEN FARM AGENT,,,,OUT,,,,0,,,,,T,0.0,,ALB,COUNTRY HOUSE,PULPIT,
,2023,M,23FTNYMIX,2023-10-17,1,1,11,11,ALHUCEMA,ALHUCEMA,,,2008-01-31,2008,15,CH,M,,B,,,KY,ALDEBARAN,ALDEBARAN,SUN IS UP (JPN),SUN IS UP (JPN),SUNDAY SILENCE,SUNDAY SILENCE,,,,0,,HIDDEN LAKE FARM LLC,1901-01-01,HIDDEN LAKE FARM LLC AGENT,,,,DOMINIQUE DAMICO,,,,1000,,,,,T,0.0,,SUN IS UP (JPN),ALDEBARAN,SUNDAY SILENCE,
,2023,M,23FTNYMIX,2023-10-17,1,1,12,12,No Horse,No Horse,,,2023-05-15,2023,0,B,C,,W,,,NY,FOG OF WAR,FOG OF WAR,ALINEA,ALINEA,HARD SPUN,HARD SPUN,,,,0,,HIDDEN LAKE FARM LLC,1901-01-01,HIDDEN LAKE FARM LLC AGENT,,,,NOT SOLD,,,,1000,,,,,T,0.0,,ALINEA,FOG OF WAR,HARD SPUN,
,2023,M,23FTNYMIX,2023-10-17,1,1,13,13,No Horse,No Horse,,,2023-02-20,2023,0,B,C,,W,,,NY,KING FOR A DAY,KING FOR A DAY,ALL OVER THE MAP,ALL OVER THE MAP,LIAM'S MAP,LIAM'S MAP,,,,0,,VINERY SALES,1901-01-01,VINERY SALES AGENT XXXVII,,,,NOT SOLD,,,,9000,,,,,T,0.0,,ALL OVER THE MAP,KING FOR A DAY,LIAM'S MAP,
,2023,M,23FTNYMIX,2023-10-17,1,1,14,14,ALLURING MISS,ALLURING MISS,,,2013-04-19,2013,10,B,M,,B,,,KY,SHAMARDAL,SHAMARDAL,LOVE STYLE,LOVE STYLE,MR. PROSPECTOR,MR. PROSPECTOR,,,,0,,VINERY SALES,1901-01-01,VINERY SALES AGENT XL,,,,LUIS SEGLIN,,,,2000,,,,,T,0.0,,LOVE STYLE,SHAMARDAL,MR. PROSPECTOR,
,2023,M,23FTNYMIX,2023-10-17,1,1,15,15,No Horse,No Horse,,,2023-03-18,2023,0,DKB,C,,W,,,NY,HARD SPUN,HARD SPUN,ALLURING MISS,ALLURING MISS,SHAMARDAL,SHAMARDAL,,,,0,,VINERY SALES,1901-01-01,VINERY SALES AGENT XL,,,,FIRE BRIGADE BLOODSTOCK,,,,32500,,,,,T,0.0,,ALLURING MISS,HARD SPUN,SHAMARDAL,
,2023,M,23FTNYMIX,2023-10-17,1,1,16,16,No Horse,No Horse,,,2023-03-05,2023,0,B,C,,W,,,NY,CAIRO PRINCE,CAIRO PRINCE,A LOT OF FABRIC,A LOT OF FABRIC,GIROLAMO,GIROLAMO,,,,0,,MCMAHON OF SARATOGA THB LLC,1901-01-01,MCMAHON OF SARATOGA THOROUGHBREDS LLC AGENT FOR ANDY & SUSAN BEADNELL,,,,NOT SOLD,,,,38000,,,,,T,0.0,,A LOT OF FABRIC,CAIRO PRINCE,GIROLAMO,
,2023,M,23FTNYMIX,2023-10-17,1,1,17,17,No Horse,No Horse,,,2023-03-21,2023,0,B,F,,W,,,NY,TACITUS,TACITUS,AMANDA LANE,AMANDA LANE,INTO MISCHIEF,INTO MISCHIEF,,,,0,,TURNING POINT BLOODSTOCK,1901-01-01,TURNING POINT BLOODSTOCK AGENT,,,,TOGA PARTY STABLE,,,,22000,,,,,T,0.0,,AMANDA LANE,TACITUS,INTO MISCHIEF,
,2023,M,23FTNYMIX,2023-10-17,1,1,18,18,No Horse,No Horse,,,2023-04-20,2023,0,B,F,,W,,,NY,MENDELSSOHN,MENDELSSOHN,ANDARIEL (IRE),ANDARIEL (IRE),EXCELEBRATION (IRE),EXCELEBRATION (IRE),,,,0,,HIDDEN LAKE FARM LLC,1901-01-01,HIDDEN LAKE FARM LLC AGENT,,,,OUT,,,,0,,,,,T,0.0,,ANDARIEL (IRE),MENDELSSOHN,EXCELEBRATION (IRE),
,2023,M,23FTNYMIX,2023-10-17,1,1,19,19,ANIMAL APPEAL,ANIMAL APPEAL,,,2012-03-20,2012,11,B,M,,B,,,NY,LEROIDESANIMAUX (BRZ),LEROIDESANIMAUX (BRZ),APPEALING CARD,APPEALING CARD,VALID APPEAL,VALID APPEAL,,,,0,,MCMAHON OF SARATOGA THB LLC,1901-01-01,MCMAHON OF SARATOGA THOROUGHBREDS LLC AGENT,,,,RACHID BROTHERS,,,,9000,,,,,T,0.0,,APPEALING CARD,LEROIDESANIMAUX (BRZ),VALID APPEAL,
,2023,M,23FTNYMIX,2023-10-17,1,1,20,20,No Horse,No Horse,,,2023-03-31,2023,0,B,C,,W,,,NY,ROCK YOUR WORLD,ROCK YOUR WORLD,ARISTRA,ARISTRA,AFLEET ALEX,AFLEET ALEX,,,,0,,SEQUEL NEW YORK,1901-01-01,SEQUEL NEW YORK AGENT VII,,,,OUT,,,,0,,,,,T,0.0,,ARISTRA,ROCK YOUR WORLD,AFLEET ALEX,
,2023,M,23FTNYMIX,2023-10-17,1,1,21,21,ASSURED,ASSURED,,,2010-02-13,2010,13,B,M,,B,,,KY,EMPIRE MAKER,EMPIRE MAKER,SLEEP EASY,SLEEP EASY,SEATTLE SLEW,SEATTLE SLEW,,,,0,,HIDDEN LAKE FARM LLC,1901-01-01,HIDDEN LAKE FARM LLC AGENT,,,,OUT,,,,0,,,,,T,0.0,,SLEEP EASY,EMPIRE MAKER,SEATTLE SLEW,
,2023,M,23FTNYMIX,2023-10-17,1,1,22,22,No Horse,No Horse,,,2023-03-12,2023,0,B,F,,W,,,NY,CENTRAL BANKER,CENTRAL BANKER,AUGUST GALA,AUGUST GALA,BROKEN VOW,BROKEN VOW,,,,0,,MCMAHON OF SARATOGA THB LLC,1901-01-01,MCMAHON OF SARATOGA THOROUGHBREDS LLC AGENT,,,,NOT SOLD,,,,18000,,,,,T,0.0,,AUGUST GALA,CENTRAL BANKER,BROKEN VOW,
,2023,M,23FTNYMIX,2023-10-17,1,1,23,23,No Horse,No Horse,,,2023-02-23,2023,0,B,C,,W,,,NY,CONNECT,CONNECT,AWESOME AURORA,AWESOME AURORA,AWESOME AGAIN,AWESOME AGAIN,,,,0,,MCMAHON OF SARATOGA THB LLC,1901-01-01,MCMAHON OF SARATOGA THOROUGHBREDS LLC AGENT,,,,OUT,,,,0,,,,,T,0.0,,AWESOME AURORA,CONNECT,AWESOME AGAIN,
,2023,M,23FTNYMIX,2023-10-17,1,1,24,24,No Horse,No Horse,,,2023-04-28,2023,0,B,C,,W,,,NY,GALILEAN,GALILEAN,AWESOME D'ORO (IRE),AWESOME D'ORO (IRE),MEDAGLIA D'ORO,MEDAGLIA D'ORO,,,,0,,HIDDEN LAKE FARM LLC,1901-01-01,HIDDEN LAKE FARM LLC AGENT,,,,FERNANDO AGUAYO,,,,1500,,,,,T,0.0,,AWESOME D'ORO (IRE),GALILEAN,MEDAGLIA D'ORO,
,2023,M,23FTNYMIX,2023-10-17,1,1,25,25,BAHAMA BANKS,BAHAMA BANKS,,,2019-03-05,2019,4,GRR,M,,B,,,KY,ARROGATE,ARROGATE,BANDANA,BANDANA,WAR FRONT,WAR FRONT,,,,0,,SEQUEL NEW YORK,1901-01-01,SEQUEL NEW YORK AGENT FOR JUDDMONTE,,,,GLEN HILL FARM,,,,170000,,,,,T,0.0,,BANDANA,ARROGATE,WAR FRONT,
,2023,M,23FTNYMIX,2023-10-17,1,1,26,26,No Horse,No Horse,,,2023-03-30,2023,0,B,F,,W,,,NY,UNIFIED,UNIFIED,BAJAN BEACH,BAJAN BEACH,SPEIGHTSTOWN,SPEIGHTSTOWN,,,,0,,HIDDEN LAKE FARM LLC,1901-01-01,HIDDEN LAKE FARM LLC AGENT,,,,NOT SOLD,,,,12000,,,,,T,0.0,,BAJAN BEACH,UNIFIED,SPEIGHTSTOWN,
,2023,M,23FTNYMIX,2023-10-17,1,1,27,27,BALLACOLLA,BALLACOLLA,,,2018-02-19,2018,5,B,M,,B,,,KY,MUNNINGS,MUNNINGS,VENTOUX (GB),VENTOUX (GB),GALILEO (IRE),GALILEO (IRE),,,,0,,SEQUEL NEW YORK,1901-01-01,SEQUEL NEW YORK AGENT FOR JUDDMONTE,,,,MCMAHON AND HILL BLOODSTOCK AGT,,,,130000,,,,,T,0.0,,VENTOUX (GB),MUNNINGS,GALILEO (IRE),
